Id,Title,Synopsis,ResourceID,Adding Resources
228,戏说华文 - 团结就是力量,"三兄妹轮流和爸爸比赛拔河都输了。姑姑见状，便通过折筷子让他们领悟“团结就是力量”的道理。三兄妹合力挑战爸爸拔河，终于赢了比赛。Sunny哥哥：一个人，力量薄弱；一群人，力量强大，小朋友要向蚂蚁一样，明白团结就是力量。<br/> T]\\\he three children take turns to challenge Father at tug-of-war, but none of them are able to beat him. Aunt Qing uses chopsticks to help them realise the principle of ""strength in unity""; following which, the three siblings team up to finally win a tug-of-war against Father together. Sunny: We should learn to cooperate with others, as there is strength in numbers.",EduPro_38_01,
229,戏说华文 - 孔融让梨,"琪琪认为自己是家中年纪最小的，所以哥哥和姐姐都必须让着她。姑姑于是和她说了“孔融让梨”的故事，让她明白当中的道理。Sunny哥哥：兄弟姐妹懂得互敬互爱，家里就会 一片乐融融。<br/>Qiqi thinks that Ah Wei and Yingying should always give in to her, since she is the youngest. To help Qiqi understand the value of mutual respect, Aunt QIng tells a story about a boy named Kong Rong, and how he shared some pears with his brothers. Sunny: We should respect and love our family members.",EduPro_39_01,
232,戏说华文 - 十二生肖,"爸爸和妈妈给孩子们讲了两则关于十二生肖的生动故事，让他们明白为何猫咪不在生肖里，以及老鼠为何在生肖里排列第一。Sunny哥哥：故事里的老鼠不守信用还欺骗了牛大哥，真是要不得，小朋友千万别学它。<br/>Father and Mother tell two stories about the 12 Animals of the Zodiac to explain why the cat is not one of the 12 animals, and how the rat came to be the first in line. Sunny: We must not imitate the rat that broke its promise and used trickery to gain first place.",EduPro_42_01,
233,戏说华文 - 认识水果 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_01,
234,戏说华文 - 认识海鲜种类 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_2,
235,戏说华文 - 认识蔬菜种类 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_3,
236,戏说华文 - 我要养宠物  (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_4,
237,戏说华文 - 认识鸟类 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_5,
238,戏说华文 - 新同学 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_6,
239,戏说华文 - 口罩惊魂 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_43_7,
