Id,Title,Synopsis,ResourceID,Adding Resources
223,戏说华文 - 有耐心,"叔婆连续三次问琪琪问题 ；叔公不停地吩咐樱樱做事；叔公和叔婆一直听不明白阿伟所教的电脑步骤, 结果让三兄妹不胜其烦。爸爸和姑姑见了便向他们解释为什么需要对老人家有耐心。Sunny哥哥：父母和长辈打从我们出世，便无微不至地照顾我们。当父母和长辈老去后，我们也应该好好地照顾他们。<br/>Great-Aunt keeps asking Qiqi questions, while Great-Uncle continuously asks Yingying to do things for him. When Ah Wei tries to explain how to use the computer, neither Great-Uncle nor Great-Aunt are able to grasp his repeated instructions. Upon learning of the children's frustrations, Father explains to them why they need to have patience with the elderly. Sunny: We should care for our elders in their old age, just as they cared for us when we were little.",EduPro_33_01,
224,戏说华文 - 守时,"因为一次不愉快的经历，让阿伟变得不守时。他上补习班迟到、与妹妹约好做作业和打球也迟到。最后，他连出席自己最感兴趣的“圣诞老人分礼物”活动也迟到。幸好爸爸已经替他拿了一份神秘礼物。在爸爸的教导下，阿伟明白守时的重要性。Sunny哥哥：迟到既不尊重别人，也不尊重场合。我们应该做个守时、守信用的人。<br/>Due to a bad experience, Ah Wei starts to cultivate a habit of being late for everything, including tuition, helping Qiqi with a project, and going bowling with his sisters. Finally, he shows up too late for his favourite Santa Claus activity to receive a gift. Fortunately for Ah Wei, Father has already taken a gift on his behalf. Father helps Ah Wei to understand why it is important to be on time. Sunny: We should always strive to be punctual, as a sign of respect for others.",EduPro_34_01,
226,戏说华文 - 称谓,"三兄妹对家人和亲戚的正确称呼不太了解，只会称呼别人为uncle、aunty或cousin。爸爸和姑姑于是通过“称谓诗”解释给他们听。Sunny哥哥：对别人使用正确的称呼，是一种基本礼貌，也体现各人修养，所以我们一定要注意。<br/>The children are unsure of the correct way to address relatives, only using the terms ""uncle"", ""aunty"" or ""cousin"". Father and Aunt Qing thus use a poem to explain the various terms of address. Sunny: We should learn to address others correctly.",EduPro_36_01,
227,戏说华文 - 路不拾遗,"三兄妹到俱乐部去打电动，偶然发现一台别人遗失的手机。琪琪建议把他占为己有，阿伟听了一时拿不定主意。最后阿伟想起爸爸平时的教导，决定把手机交到俱乐部的办公室，希望能物归原主。Sunny哥哥：我们都应该具有路不拾遗的精神并看管好自己的财物。<br/>While at the arcade, the children find a mobile phone on the ground. Qiqi suggests keeping it for themselves, causing Ah Wei to hesitate. In the end, Ah Wei recalls Father's usual teachings and decides to turn the phone over to the lost-and-found counter, in hopes that the owner will return to claim it.                                                                                                                                            Sunny: We should be honest and not take things that do not belong to us. We should also take good care of our things.",EduPro_37_01,
231,戏说华文 - 爸爸的扑满,"三兄妹十分羡慕朋友们所拥有的最新电脑、新娃娃等，于是要求爸爸购买这些物品给他们。爸爸便分享自己在童年时所过的困苦生活，并从中灌输孩子们正确的金钱观。Sunny哥哥：我们除了要善用金钱，也应该培养储蓄的好习惯。<br/>Envious of their friends' new computers, toys, and so on, the three children ask Father to buy these things for them. Father tells them about the difficult living conditions he grew up in, in order to help the children understand the importance of being frugal. Sunny: We should spend money wisely and learn to save when we can.",EduPro_41_01,
246,戏说华文 - 停电记 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_41_2,
247,戏说华文 - 认识花卉 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_41_3,
248,戏说华文 - 校庆舞台剧 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_41_4,
249,戏说华文 - 游泳安全须知 (Coming Soon),即将推出 <br/>Comming Soon,EduPro_41_5,
250,戏说华文 - 给妈妈写的信  (Coming Soon),即将推出 <br/>Comming Soon,EduPro_41_6,
