Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0023_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0024_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0025_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0026_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0027_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0028_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0029_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0030_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0031_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0032_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0033_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0034_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0035_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0036_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0037_FIB_Qns,3,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0038_FIB_Qns,2,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0039_FIB_Qns,1,,
Q-Setter,P4,2,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0040_FIB_Qns,2,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0041_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0043_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0044_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0045_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0046_FIB_Qns,2,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0047_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0048_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0049_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0050_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0051_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0053_FIB_Qns,2,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0054_FIB_Qns,2,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0055_FIB_Qns,2,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0056_MAT_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0057_MAT_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0058_MAT_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0059_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0060_FIB_Qns,1,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0061_FIB_Qns,2,,
Q-Setter,P4,3,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0062_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0063_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0064_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0065_FIB_Qns,1,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0066_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0067_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0068_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0069_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0070_FIB_Qns,1,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0071_FIB_Qns,1,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0072_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0073_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0074_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0075_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0076_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0077_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0078_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0079_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0080_FIB_Qns,2,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0082_MAT_Qns,1,,
Q-Setter,P4,4,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0083_MAT_Qns,1,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0084_MAT_Qns,1,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0085_FIB_Qns,1,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0086_FIB_Qns,1,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0087_FIB_Qns,1,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0088_FIB_Qns,2,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0089_FIB_Qns,1,,
Q-Setter,P4,5,A,Numbers,Numbers up to 100 000,PMA_Qsetter_P4_0_0090_FIB_Qns,2,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0091_FIB_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0092_FIB_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0093_FIB_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0094_FIB_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0097_MAT_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0098_FIB_Qns,2,,
Q-Setter,P4,5,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P4_0_0099_FIB_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P4_0_0100_FIB_Qns,1,,
Q-Setter,P4,5,A,Addition and Subtraction,Addition,PMA_Qsetter_P4_0_0101_FIB_Qns,2,,
Q-Setter,P4,5,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0102_MCQ_Qns,1,,
Q-Setter,P4,5,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0103_MCQ_Qns,1,,
Q-Setter,P4,5,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0104_MCQ_Qns,2,,
Q-Setter,P4,5,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0105_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0106_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0107_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0108_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0109_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0110_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0111_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0112_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0113_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0114_MCQ_Qns,1,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0115_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0116_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0117_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0118_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0119_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0120_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0121_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0122_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0123_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0124_MCQ_Qns,2,,
Q-Setter,P4,6,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0125_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0126_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0127_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0128_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0129_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0130_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0131_FIB_Qns,1,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0132_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0133_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0134_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0135_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0136_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0137_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0138_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0139_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0140_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0141_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0142_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0143_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0144_FIB_Qns,2,,
Q-Setter,P4,7,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0145_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0146_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0147_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0148_FIB_Qns,1,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0149_FIB_Qns,1,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0150_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0151_FIB_Qns,1,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0152_FIB_Qns,1,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0153_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0154_FIB_Qns,1,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0155_FIB_Qns,1,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0156_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0157_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0158_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0159_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0160_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0161_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0162_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0163_FIB_Qns,2,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0164_FIB_Qns,3,,
Q-Setter,P4,8,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0165_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0166_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0167_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0168_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0170_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0171_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0172_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0173_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0174_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Division,PMA_Qsetter_P4_0_0175_FIB_Qns,2,,
Q-Setter,P4,9,A,Multiplication and Division,Multiplication,PMA_Qsetter_P4_0_0176_FIB_Qns,2,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0177_MCQ_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0178_MCQ_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0179_MCQ_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0180_MCQ_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0181_FIB_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0182_FIB_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0183_FIB_Qns,1,,
Q-Setter,P4,9,A,Approximation and estimation,Approximation,PMA_Qsetter_P4_0_0184_FIB_Qns,1,,
Q-Setter,P4,9,A,Factors,Factors,PMA_Qsetter_P4_0_0185_MCQ_Qns,1,,
Q-Setter,P4,9,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0186_MCQ_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0187_MCQ_Qns,2,,
Q-Setter,P4,10,A,Factors,Factors,PMA_Qsetter_P4_0_0188_MCQ_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0189_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0190_FIB_Qns,1,,
Q-Setter,P4,10,A,Factors,Factors,PMA_Qsetter_P4_0_0191_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0192_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0193_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0194_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0195_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0196_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0197_FIB_Qns,2,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0198_FIB_Qns,2,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0199_FIB_Qns,2,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0200_FIB_Qns,1,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0201_FIB_Qns,2,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0202_FIB_Qns,1,,
Q-Setter,P4,10,A,Factors,Factors,PMA_Qsetter_P4_0_0203_FIB_Qns,1,,
Q-Setter,P4,10,A,Factors,Factors,PMA_Qsetter_P4_0_0204_FIB_Qns,1,,
Q-Setter,P4,10,A,Factors,Factors,PMA_Qsetter_P4_0_0205_FIB_Qns,3,,
Q-Setter,P4,10,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0206_FIB_Qns,2,,
Q-Setter,P4,11,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0207_FIB_Qns,2,,
Q-Setter,P4,11,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0208_FIB_Qns,3,,
Q-Setter,P4,11,A,Multiplication,Multiples,PMA_Qsetter_P4_0_0209_FIB_Qns,3,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0210_MCQ_Qns,1,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0211_MCQ_Qns,2,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0212_MCQ_Qns,2,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0213_FIB_Qns,1,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0214_FIB_Qns,2,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0215_FIB_Qns,1,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0217_FIB_Qns,1,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0218_FIB_Qns,1,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0219_FIB_Qns,1,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0220_FIB_Qns,2,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0221_FIB_Qns,2,,
Q-Setter,P4,11,A,Time,Time,PMA_Qsetter_P4_0_0222_FIB_Qns,1,,
Q-Setter,P4,11,A,Money,Money,PMA_Qsetter_P4_0_0223_FIB_Qns,2,,
Q-Setter,P4,11,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0224_MCQ_Qns,1,,
Q-Setter,P4,11,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0225_MCQ_Qns,1,,
Q-Setter,P4,11,A,Area and Perimeter,Area,PMA_Qsetter_P4_0_0226_MCQ_Qns,1,,
Q-Setter,P4,11,A,Area and Perimeter,Area,PMA_Qsetter_P4_0_0227_MCQ_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0228_MCQ_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Area,PMA_Qsetter_P4_0_0229_MCQ_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0230_MCQ_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Area,PMA_Qsetter_P4_0_0231_MCQ_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0232_MCQ_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0233_MCQ_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0234_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0235_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0236_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0237_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0238_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Area,PMA_Qsetter_P4_0_0239_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0240_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0241_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0242_FIB_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0243_FIB_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0244_FIB_Qns,1,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0245_FIB_Qns,2,,
Q-Setter,P4,12,A,Area and Perimeter,Perimeter,PMA_Qsetter_P4_0_0246_FIB_Qns,2,,
